step,gaussian_node,categorical_node,input_raw,input,index,used_
5,2,2,1,C,421,TRUE
6,2,2,1,C,422,TRUE
7,2,2,1,C,423,TRUE
8,2,2,1,C,424,TRUE
9,2,2,1,C,425,TRUE
10,2,2,1,C,426,TRUE
11,2,2,1,C,427,TRUE
12,2,2,1,C,428,TRUE
13,2,2,1,C,429,TRUE
14,2,2,1,C,430,TRUE
15,2,2,1,C,431,TRUE
0,3,2,1,C,432,TRUE
1,3,2,1,C,433,TRUE
2,3,2,1,C,434,TRUE
3,3,2,1,C,435,TRUE
4,3,2,1,C,436,TRUE
5,3,2,1,C,437,TRUE
6,3,2,1,C,438,TRUE
7,3,2,1,C,439,TRUE
8,3,2,1,C,440,TRUE
9,3,2,1,C,441,TRUE
10,3,2,1,C,442,TRUE
11,3,2,1,C,443,TRUE
12,3,2,1,C,444,TRUE
13,3,2,1,C,445,TRUE
14,3,2,1,C,446,TRUE
15,3,2,1,C,447,TRUE
0,0,3,1,C,448,TRUE
1,0,3,1,C,449,TRUE
2,0,3,1,C,450,TRUE
3,0,3,1,C,451,TRUE
4,0,3,1,C,452,TRUE
5,0,3,1,C,453,TRUE
6,0,3,1,C,454,TRUE
7,0,3,1,C,455,TRUE
8,0,3,1,C,456,TRUE
9,0,3,1,C,457,TRUE
10,0,3,1,C,458,TRUE
11,0,3,1,C,459,TRUE
12,0,3,1,C,460,TRUE
13,0,3,1,C,461,TRUE
14,0,3,1,C,462,TRUE
15,0,3,1,C,463,TRUE
0,1,3,1,C,464,TRUE
1,1,3,1,C,465,TRUE
2,1,3,1,C,466,TRUE
3,1,3,1,C,467,TRUE
4,1,3,1,C,468,TRUE
5,1,3,1,C,469,TRUE
6,1,3,1,C,470,TRUE
7,1,3,1,C,471,TRUE
8,1,3,1,C,472,TRUE
9,1,3,1,C,473,TRUE
10,1,3,1,C,474,TRUE
11,1,3,1,C,475,TRUE
12,1,3,1,C,476,TRUE
13,1,3,1,C,477,TRUE
14,1,3,1,C,478,TRUE
15,1,3,1,C,479,TRUE
0,2,3,1,C,480,TRUE
