,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
60,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,1,2,2,MG1655,1185,76.97417,Training_PercentDifference-Mean,4,TRUE
61,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,6,1,2,W,1430,88.56195,Training_PercentDifference-Mean,5,TRUE
62,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,3,2,W3110,1720,88.1741,Training_PercentDifference-Mean,6,TRUE
63,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,1,BL21,111,3.07847,Validation_EuclideanDist-Mean,0,TRUE
64,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,9,3,0,C,313,3.30405,Validation_EuclideanDist-Mean,1,TRUE
65,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,1,Crooks,623,2.888635,Validation_EuclideanDist-Mean,2,TRUE
66,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,2,1,DH5a,878,3.360398,Validation_EuclideanDist-Mean,3,TRUE
67,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,5,2,0,MG1655,1061,2.237066,Validation_EuclideanDist-Mean,4,TRUE
68,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,5,0,2,W,1413,2.750379,Validation_EuclideanDist-Mean,5,TRUE
69,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,0,3,3,W3110,1776,3.159189,Validation_EuclideanDist-Mean,6,TRUE
70,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,1,BL21,111,21.32894,Validation_ManhattanDist-Mean,0,TRUE
71,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,1,3,C,478,23.540642,Validation_ManhattanDist-Mean,1,TRUE
72,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,2,1,Crooks,622,20.688046,Validation_ManhattanDist-Mean,2,TRUE
73,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,2,1,DH5a,878,23.418556,Validation_ManhattanDist-Mean,3,TRUE
74,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,13,0,2,MG1655,1165,13.437092,Validation_ManhattanDist-Mean,4,TRUE
75,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,5,0,2,W,1413,19.074675,Validation_ManhattanDist-Mean,5,TRUE
76,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,3,3,W3110,1784,21.43827,Validation_ManhattanDist-Mean,6,TRUE
77,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,6,0,2,BL21,134,87.827,Validation_PercentDifference-Mean,0,TRUE
78,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,11,1,2,C,411,90.09473,Validation_PercentDifference-Mean,1,TRUE
79,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,2,3,2,Crooks,690,89.431366,Validation_PercentDifference-Mean,2,TRUE
80,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,9,1,2,DH5a,921,89.084114,Validation_PercentDifference-Mean,3,TRUE
81,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,1,2,MG1655,1176,75.94163,Validation_PercentDifference-Mean,4,TRUE
82,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,6,2,2,W,1446,92.707504,Validation_PercentDifference-Mean,5,TRUE
83,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,4,3,2,W3110,1716,90.46088,Validation_PercentDifference-Mean,6,TRUE
84,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,9,0,0,BL21,9,0.244758,Training_EuclideanDist-Mean,0,TRUE
85,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,15,1,2,C,415,0.313541,Training_EuclideanDist-Mean,1,TRUE
86,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,8,0,0,Crooks,520,0.225397,Training_EuclideanDist-Mean,2,TRUE
87,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,8,0,0,DH5a,776,0.273099,Training_EuclideanDist-Mean,3,TRUE
88,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,8,0,0,MG1655,1032,0.288351,Training_EuclideanDist-Mean,4,TRUE
89,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,4,1,0,W,1300,0.243353,Training_EuclideanDist-Mean,5,TRUE
90,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,12,0,1,W3110,1612,0.457301,Training_EuclideanDist-Mean,6,TRUE
91,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_OffProj_MSE_01,5,3,2,BL21,181,0.847415,Training_ManhattanDist-Mean,0,TRUE
